"ID Cliente","Zona","País","Tipo de producto","Canal de venta","Prioridad","Fecha pedido","Unidades","Precio Unitario","Coste unitario","Importe venta total","Importe Coste total","Año","Mes"
"C2421","europa","United Kingdom","Snacks","Offline","Crítica","10/12/2020","5530","  152.58 € ","  97.44 € ","  843,767.40 € ","  538,843.20 € ","2020","10"
"C1908","europa","Malta","Cárnicos","Online","Alta","1/26/2020","994","  421.89 € ","  364.69 € ","  419,358.66 € ","  362,501.86 € ","2020","1"
"C7652","Australia y Oceanía","Marshall Islands","Cereales","Online","Crítica","11/9/2020","6845","  205.70 € ","  117.11 € ","  1,408,016.50 € ","  801,617.95 € ","2020","11"
"C2326","Africa","Iran","Frutas","Offline","Baja","8/21/2021","9806","  9.33 € ","  6.92 € ","  91,489.98 € ","  67,857.52 € ","2021","8"
"C5305","Centroamérica y Caribe","Guatemala","Alimento infantil","Offline","Media","9/30/2022","3633","  255.28 € ","  159.42 € ","  927,432.24 € ","  579,172.86 € ","2022","9"
"C5168","Centroamérica y Caribe","Grenada","Bebida","Offline","Baja","1/21/2022","4110","  47.45 € ","  31.79 € ","  195,019.50 € ","  130,656.90 € ","2022","1"
"C9197","Australia y Oceanía","Fiji","Snacks","Offline","Media","2/17/2022","4056","  152.58 € ","  97.44 € ","  618,864.48 € ","  395,216.64 € ","2022","2"
"C2876","Africa","Tunisia ","Cosméticos","Offline","Media","3/21/2020","8319","  437.20 € ","  263.33 € ","  3,637,066.80 € ","  2,190,642.27 € ","2020","3"
"C8394","Centroamérica y Caribe","Grenada","Cuidado personal","Offline","Crítica","2/13/2021","8779","  81.73 € ","  56.67 € ","  717,507.67 € ","  497,505.93 € ","2021","2"
"C8141","Australia y Oceanía","Australia","Material de oficina","Online","Media","6/15/2021","9347","  651.21 € ","  524.96 € ","  6,086,859.87 € ","  4,906,801.12 € ","2021","6"
"C3212","Norteamérica","Greenland","Cosméticos","Online","Alta","7/15/2022","966","  437.20 € ","  263.33 € ","  422,335.20 € ","  254,376.78 € ","2022","7"
"C8904","Africa","Angola","Snacks","Online","Crítica","5/13/2020","6609","  152.58 € ","  97.44 € ","  1,008,401.22 € ","  643,980.96 € ","2020","5"
"C5218","Africa","Zambia","Bebida","Offline","Crítica","5/6/2021","6281","  47.45 € ","  31.79 € ","  298,033.45 € ","  199,672.99 € ","2021","5"
"C4358","Africa","Kenya","Verduras","Offline","Alta","11/7/2020","2018","  154.06 € ","  90.93 € ","  310,893.08 € ","  183,496.74 € ","2020","11"
"C1229","Africa","Azerbaijan","Frutas","Offline","Crítica","10/20/2021","2888","  9.33 € ","  6.92 € ","  26,945.04 € ","  19,984.96 € ","2021","10"
"C4942","Africa","Mozambique","Cuidado personal","Offline","Crítica","10/21/2021","9989","  81.73 € ","  56.67 € ","  816,400.97 € ","  566,076.63 € ","2021","10"
"C7310","Australia y Oceanía","Federated States of Micronesia","Cosméticos","Offline","Crítica","4/19/2020","1451","  437.20 € ","  263.33 € ","  634,377.20 € ","  382,091.83 € ","2020","4"
"C5348","Centroamérica y Caribe","Dominican Republic","Snacks","Offline","Crítica","11/3/2022","7436","  152.58 € ","  97.44 € ","  1,134,584.88 € ","  724,563.84 € ","2022","11"
"C5778","Africa","Libya","Material de oficina","Online","Alta","7/10/2022","5135","  651.21 € ","  524.96 € ","  3,343,963.35 € ","  2,695,669.60 € ","2022","7"
"C2519","Asia","Uzbekistan","Material de oficina","Online","Baja","6/1/2021","3772","  651.21 € ","  524.96 € ","  2,456,364.12 € ","  1,980,149.12 € ","2021","6"
"C8199","Asia","Sri Lanka","Cuidado personal","Offline","Media","7/28/2020","9602","  81.73 € ","  56.67 € ","  784,771.46 € ","  544,145.34 € ","2020","7"
"C4645","Africa","The Gambia","Cosméticos","Online","Crítica","6/8/2021","912","  437.20 € ","  263.33 € ","  398,726.40 € ","  240,156.96 € ","2021","6"
"C1390","Asia","Myanmar","Snacks","Offline","Media","7/26/2021","3019","  152.58 € ","  97.44 € ","  460,639.02 € ","  294,171.36 € ","2021","7"
"C4168","Asia","Bhutan","Ropa","Online","Crítica","10/15/2021","3270","  109.28 € ","  35.84 € ","  357,345.60 € ","  117,196.80 € ","2021","10"
"C1418","Africa","Mali","Verduras","Online","Crítica","11/23/2021","6047","  154.06 € ","  90.93 € ","  931,600.82 € ","  549,853.71 € ","2021","11"
"C4779","Africa","Burundi","Cuidado personal","Online","Alta","1/31/2022","7761","  81.73 € ","  56.67 € ","  634,306.53 € ","  439,815.87 € ","2022","1"
"C8598","Africa","Libya","Ropa","Offline","Alta","7/11/2021","1852","  109.28 € ","  35.84 € ","  202,386.56 € ","  66,375.68 € ","2021","7"
"C3420","Africa","Nigeria","Ropa","Offline","Crítica","8/26/2022","3797","  109.28 € ","  35.84 € ","  414,936.16 € ","  136,084.48 € ","2022","8"
"C7497","europa","Norway","Doméstico","Online","Crítica","2/21/2021","6098","  668.27 € ","  502.54 € ","  4,075,110.46 € ","  3,064,488.92 € ","2021","2"
"C8282","Africa","Kenya","Cosméticos","Offline","Media","8/30/2021","3293","  437.20 € ","  263.33 € ","  1,439,699.60 € ","  867,145.69 € ","2021","8"
"C2932","Australia y Oceanía","Papua New Guinea","Verduras","Online","Alta","2/19/2022","6948","  154.06 € ","  90.93 € ","  1,070,408.88 € ","  631,781.64 € ","2022","2"
"C2806","Asia","North Korea","Cuidado personal","Offline","Baja","11/17/2020","663","  81.73 € ","  56.67 € ","  54,186.99 € ","  37,572.21 € ","2020","11"
"C1968","europa","Montenegro","Ropa","Offline","Media","11/25/2020","5067","  109.28 € ","  35.84 € ","  553,721.76 € ","  181,601.28 € ","2020","11"
"C8684","europa","Norway","Frutas","Offline","Alta","10/6/2022","2822","  9.33 € ","  6.92 € ","  26,329.26 € ","  19,528.24 € ","2022","10"
"C4923","Africa","Lesotho","Ropa","Offline","Baja","4/7/2020","3619","  109.28 € ","  35.84 € ","  395,484.32 € ","  129,704.96 € ","2020","4"
"C4857","Asia","Indonesia","Cárnicos","Online","Alta","12/2/2021","9183","  421.89 € ","  364.69 € ","  3,874,215.87 € ","  3,348,948.27 € ","2021","12"
"C5362","Africa","Iraq","Bebida","Online","Alta","11/28/2020","8268","  47.45 € ","  31.79 € ","  392,316.60 € ","  262,839.72 € ","2020","11"
"C8517","Asia","Singapore","Cereales","Online","Crítica","4/3/2022","1660","  205.70 € ","  117.11 € ","  341,462.00 € ","  194,402.60 € ","2022","4"
"C8103","Asia","South Korea","Verduras","Online","Media","5/15/2021","7177","  154.06 € ","  90.93 € ","  1,105,688.62 € ","  652,604.61 € ","2021","5"
"C3105","Africa","Lebanon","Doméstico","Online","Baja","8/26/2022","4668","  668.27 € ","  502.54 € ","  3,119,484.36 € ","  2,345,856.72 € ","2022","8"
"C2211","Asia","Myanmar","Frutas","Online","Alta","11/23/2020","1011","  9.33 € ","  6.92 € ","  9,432.63 € ","  6,996.12 € ","2020","11"
"C1312","Asia","Vietnam","Ropa","Online","Alta","9/23/2022","5120","  109.28 € ","  35.84 € ","  559,513.60 € ","  183,500.80 € ","2022","9"
"C6003","Africa","Jordan","Frutas","Online","Baja","4/25/2022","2935","  9.33 € ","  6.92 € ","  27,383.55 € ","  20,310.20 € ","2022","4"
"C9080","Australia y Oceanía","Palau","Material de oficina","Offline","Baja","10/20/2022","2430","  651.21 € ","  524.96 € ","  1,582,440.30 € ","  1,275,652.80 € ","2022","10"
"C4045","Centroamérica y Caribe","Antigua and Barbuda ","Cereales","Offline","Crítica","8/4/2020","8611","  205.70 € ","  117.11 € ","  1,771,282.70 € ","  1,008,434.21 € ","2020","8"
"C7601","Australia y Oceanía","Papua New Guinea","Cuidado personal","Offline","Baja","1/21/2021","8513","  81.73 € ","  56.67 € ","  695,767.49 € ","  482,431.71 € ","2021","1"
"C1154","Centroamérica y Caribe","El Salvador","Ropa","Offline","Media","11/2/2022","6205","  109.28 € ","  35.84 € ","  678,082.40 € ","  222,387.20 € ","2022","11"
"C7315","Africa","Republic of the Congo","Bebida","Offline","Baja","2/8/2022","7783","  47.45 € ","  31.79 € ","  369,303.35 € ","  247,421.57 € ","2022","2"
"C4396","Australia y Oceanía","Vanuatu","Cárnicos","Online","Crítica","8/3/2022","6379","  421.89 € ","  364.69 € ","  2,691,236.31 € ","  2,326,357.51 € ","2022","8"
"C2914","Asia","Bangladesh","Ropa","Offline","Baja","9/11/2022","7154","  109.28 € ","  35.84 € ","  781,789.12 € ","  256,399.36 € ","2022","9"
"C5088","Africa","Burundi","Cereales","Offline","Baja","9/1/2022","2299","  205.70 € ","  117.11 € ","  472,904.30 € ","  269,235.89 € ","2022","9"
"C9340","Africa","South Sudan","Verduras","Online","Media","4/17/2020","6039","  154.06 € ","  90.93 € ","  930,368.34 € ","  549,126.27 € ","2020","4"
"C5795","Africa","Mozambique","Bebida","Online","Baja","11/25/2020","9628","  47.45 € ","  31.79 € ","  456,848.60 € ","  306,074.12 € ","2020","11"
"C7783","Centroamérica y Caribe","Saint Kitts and Nevis ","Cárnicos","Online","Crítica","8/27/2021","6353","  421.89 € ","  364.69 € ","  2,680,267.17 € ","  2,316,875.57 € ","2021","8"
"C2335","Africa","Rwanda","Verduras","Offline","Media","7/16/2021","6531","  154.06 € ","  90.93 € ","  1,006,165.86 € ","  593,863.83 € ","2021","7"
"C8686","Africa","Rwanda","Bebida","Online","Alta","10/24/2022","2510","  47.45 € ","  31.79 € ","  119,099.50 € ","  79,792.90 € ","2022","10"
"C1774","europa","Moldova ","Verduras","Offline","Baja","12/23/2020","3671","  154.06 € ","  90.93 € ","  565,554.26 € ","  333,804.03 € ","2020","12"
